course,sub_course,module,sub_module,content_html_list,img_list,video_url
Java Web Developer,COURSE 1:Welcome to Java Web Developer Nanodegree Program,Lesson 1: Java Web Developer Nanodegree Orientation,1.1  Welcome to Udacity,"['<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw"">Welcome to Udacity!</h3>\n<p class=""chakra-text css-o3oz8b"">I am Sebastian, the founder of Udacity.</p>\n<p class=""chakra-text css-o3oz8b"">Our mission is to power careers through tech education. We’re honored that you’ve chosen us to help in your career journey. Whether embarking on a new path. Curious about a new field. Or advancing in your own field. I want you to know, you’re in the right place. We are here to help you accomplish your goals.</p>\n<p class=""chakra-text css-o3oz8b"">I can’t wait to see where this journey takes you!</p></div>']",[],https://www.youtube.com/embed/9QadFJRKrEA
Java Web Developer,COURSE 1:Welcome to Java Web Developer Nanodegree Program,Lesson 1: Java Web Developer Nanodegree Orientation,1.2  The Udacity Experience,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">If this is your first Nanodegree program, welcome.\nIf you have taken a Nanodegree program with us before, you already know a little bit of what to expect. Udacity is always improving our learning experience for students. So you can watch this to see what is changed or skip ahead. You can also read this in the FAQ located in the resources tab.</p>\n<p class=""chakra-text css-o3oz8b"">Let’s get started.</p>\n<p class=""chakra-text css-o3oz8b"">We truly believe you couldn’t have chosen a better place to learn. A lot of people have worked tirelessly to create the course material and platform features, as we all want you to get the most of your learning journey. Our pledge is to provide you with resources and services that will further enable you to succeed in your Nanodegree program. As you go through the lessons, you may find some to be difficult and may feel discouraged. If this happens, we encourage you to take advantage of your community channels and mentor services to help clarify the concepts, or just to share your doubts. Our mentors are there to help you! You will get advice and guidance to ensure you are on track to complete the projects. We WANT you to succeed and graduate with a Udacity Nanodegree certificate.</p>\n<p class=""chakra-text css-o3oz8b"">We value the trust you have put in us by making this investment in your future career. We take it seriously and we are here to help you achieve whatever you came here to accomplish.</p></div>']",[],https://www.youtube.com/embed/gd0Z0S58Y68
Java Web Developer,COURSE 1:Welcome to Java Web Developer Nanodegree Program,Lesson 1: Java Web Developer Nanodegree Orientation,1.3  How to Succeed,[],[],https://www.youtube.com/embed/hVwUijsLKzw
Java Web Developer,COURSE 1:Welcome to Java Web Developer Nanodegree Program,"Lesson 2: Knowledge, Community, and Careers",2.1  Getting Help,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">As questions come up during this course, click on the Help button on the left sidebar of your classroom. You’ll see four options, each for a separate type of support:</p>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp""><strong>Technical Mentor Help</strong>: is available on Knowledge, our expert Q&amp;A platform, by clicking on ""Mentor Help"". You can search for answers to questions similar to yours or post new questions related to your project or lessons. Udacity’s expert technical mentors answer all new questions.</li><li class=""css-cvpopp""><strong>Udacity Support Community:</strong> Receive peer support and find answers to your non-technical questions quickly through <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://udacity.zendesk.com/hc/en-us/community/topics"">Udacity Support Community<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>. Receive peer support from our global community of lifelong learners that help each other succeed by sharing their experience and expertise. Start a discussion <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://udacity.zendesk.com/hc/en-us/community/topics"">here<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</li><li class=""css-cvpopp""><strong>General Account Help</strong>: This is where you can get details on non-technical issues such as 3rd party tools, billing, deadlines, and more. You can even find additional help here via. live chat. Simply click on Account Help or visit our <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://udacity.zendesk.com/hc"">Help Center<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> to find answers.\n.</li></ul></div>']",[],
Java Web Developer,COURSE 1:Welcome to Java Web Developer Nanodegree Program,"Lesson 2: Knowledge, Community, and Careers",2.2  Mentor Help,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><strong>Technical Mentor Support</strong>: is provided through Knowledge, our expert Q&amp;A platform. You can search for answers to questions similar to yours or post new questions related to your project or lessons. <strong>Udacity’s expert technical mentors answer all-new questions.</strong></p>\n<h3 class=""chakra-heading css-k57syw"">How to Use Knowledge</h3>\n<p class=""chakra-text css-o3oz8b"">To ensure you’re getting the quality and prompt support you need, it’s helpful to follow these best practices and guidelines for Knowledge.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Search for Similar Existing Questions</strong>:\nwith tens of thousands of students enrolled in our programs, many of your questions may have already been asked and answered. To look for existing answers to similar questions that may provide the immediate support you need, use the <strong>filter on the left side of your screen</strong> to select your course and related project or write in the key terms related to your question in the <strong>search bar</strong> at the top of the page.</p>\n</li><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Ask a New Question</strong>:\nif you want to ask a new question, select “Ask a Mentor” at the top of the page. Kindly remember that Knowledge is for technical questions only; for other types of support and feedback, please write to support at <a class=""chakra-link css-190botj"" href=""mailto:support@udacity.com"">support@udacity.com<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a>.</p>\n</li></ul>\n<p class=""chakra-text css-o3oz8b"">When you ask a new question, the platform immediately assigns it to one of our expert mentors spread across the globe to ensure prompt replies. Of note, when a mentor answers your question, you will see “Mentor” next to their name to differentiate their support from comments your fellow learners may also provide.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">If you don\'t see your question, simply create a new post. You are likely to get an answer within 24 hours and you\'ll be helping future students who may encounter the same problem.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw"">How to Ask a Good Question?</h3>\n<p class=""chakra-text css-o3oz8b"">Students that follow these tips typically receive the strongest initial support and avoid back-and-forth with mentors:</p>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Ask Specific Questions</strong>: if you have closely related questions that form part of a general theme, it’s okay to ask them all together. But consider using bullet points to separately list each of the questions in your post. Keeping your questions organized helps ensure mentors provide clear answers to each specific question. If your questions are less closely connected, it’s best to submit new, separate questions for each one.</p>\n</li><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Provide Details and Links:</strong> explaining what (if anything) you’ve already attempted to solve the problem helps mentors know where to start when answering your question. Likewise, if your question is not related specifically to a project, but rather to an exercise, quiz, or lesson, it’s helpful to include information such as lesson or quiz name, screenshots, and classroom links.</p>\n</li></ul>\n<blockquote class=""css-6jmydm"">\n<p class=""chakra-text css-o3oz8b"">Overall the key to asking a good question is to imagine yourself trying to answer your own question. Imagine you were coming to it without any prior knowledge. Does the question make complete sense? Or are there gaps around the context?</p>\n</blockquote>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Start with a Clear Question Title</strong>: attempt to summarize your entire question in one sentence. You may even write the title at the end, just before posting the question. This will help you summarize the issue before you include details in the question itself.</p>\n</li><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Share Code Correctly</strong>:  by using the “Code Block” option to properly format your code. If your question concerns a piece of external code, include a link to the file on Github.</p>\n</li></ul>\n<blockquote class=""css-6jmydm"">\n<p class=""chakra-text css-o3oz8b"">In fact, Github lets you create a link to a specific line in a file.  To do so, just click to the left of the line number, and then select <em class=""chakra-text css-o3oz8b"">copy permalink</em> in the ellipsis that appears in the margin. Paste the <em class=""chakra-text css-o3oz8b"">permalink</em> right into the Github box on your question submission form.</p>\n</blockquote>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Figuring out Errors</strong>: if your question is about an error message or stack trace, include the entire error message, by either formatting the error message using the “Code Block” option or creating a Gist or a Paste on Pastebin, and including a link to it in the description.</p>\n</li><li class=""css-cvpopp"">\n<p class=""chakra-text css-o3oz8b""><strong>Avoid Screenshots of Code or Error Messages</strong>: do not use screenshots of code or error messages. They are hard to read and the text cannot be copied to debug it.</p>\n</li></ul>\n<p class=""chakra-text css-o3oz8b"">If you receive a helpful answer, kindly select it as the “accepted answer.” For questions from other students, if you see other helpful answers kindly select the “upvote” option. Conversely, if you don’t think an answer strongly answers a question, select the “downvote” option.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><h3 class=""chakra-heading css-k57syw"">Getting Additional Support</h3>\n<p class=""chakra-text css-o3oz8b"">At times, students want support from a different mentor. As everyone learns differently, we want to make this a simple process for learners like you.</p>\n<p class=""chakra-text css-o3oz8b"">If you receive an answer that you are not satisfied with and want a different mentor to chime in, kindly select the option at the top of the page in Knowledge. If you reply directly in the comments section, without clicking on the link at the top of the page, your question will not be answered by another mentor.</p></div>']","['https://video.udacity-data.com/topher/2020/May/5ebeb959_knowledge1/knowledge1.png', 'https://video.udacity-data.com/topher/2020/May/5ebeb9eb_k2/k2.png', 'https://video.udacity-data.com/topher/2020/May/5ebeb997_image2/image2.png', 'https://video.udacity-data.com/topher/2020/May/5ebeb954_lastimage/lastimage.png']",
Java Web Developer,COURSE 1:Welcome to Java Web Developer Nanodegree Program,"Lesson 2: Knowledge, Community, and Careers",2.3  Udacity Support Community,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><strong>Welcome to Udacity’s Support Community!</strong></p>\n<p class=""chakra-text css-o3oz8b"">Become a part of our global community of lifelong learners that help each other succeed by sharing their experience and expertise. Receive peer support and find answers to your non-technical questions quickly through Udacity Support Community.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Find answers to your questions</strong></p>\n<p class=""chakra-text css-o3oz8b"">Search Udacity Support Community for answers to commonly asked questions.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Receive peer support</strong></p>\n<p class=""chakra-text css-o3oz8b"">Ask the community by posting a question and following discussions.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Share your expertise</strong></p>\n<p class=""chakra-text css-o3oz8b"">Get recognized for sharing your insights, experiences, and tips with fellow learners.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Checkout status of your Support tickets</strong></p>\n<p class=""chakra-text css-o3oz8b"">Manage and streamline your view of the support tickets, community conversations, and people you follow in the \'My Profile\' section.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Solved, helpful, and recommended posts</strong></p>\n<p class=""chakra-text css-o3oz8b"">Let other learners know which posts solved your problem, highlight helpful responses, and get the answers you want faster with recommended posts.</p>\n<p class=""chakra-text css-o3oz8b""><strong>Build your reputation in the community</strong></p>\n<p class=""chakra-text css-o3oz8b"">Explore and participate in Support Community programs to earn points, levels, and badges. Have fun and unlock rewards along the way.</p>\n<h3 class=""chakra-heading css-k57syw"">Join the <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://udacity.zendesk.com/hc/en-us/community/topics"">Support Community<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> now</h3></div>']",[],
Java Web Developer,COURSE 2:Spring Boot Basics,Lesson 1: Introduction to Spring Boot,1.1  Meet Your Instructor,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Hi, everyone! My name is <strong>Peter Zastoupil</strong>.</p>\n<p class=""chakra-text css-o3oz8b"">I\'m an enterprise software developer and teacher at Cook Systems, an IT solutions and training company. My background includes many languages and tools, but Java and Spring are two of my oldest skills. I\'m excited to share them with you!</p></div>']",[],https://www.youtube.com/embed/NaWbj5NxxtA
Java Web Developer,COURSE 2:Spring Boot Basics,Lesson 1: Introduction to Spring Boot,1.2  Prerequisites,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">To get the most out of this course, you should already be familiar with the basics of Java, SQL, and IDEs.</p>\n<p class=""chakra-text css-o3oz8b"">If you\'re looking to get started with Java, Udacity has a free <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/course/java-programming-basics--ud282"">Java Programming Basics<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> course, which as a bonus introduces IntelliJ IDEA as an IDE. Another resource is the <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://docs.oracle.com/javase/tutorial/index.html"">Java Tutorials<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> from Oracle. These are also an excellent reference, especially if you\'re already familiar with another language and just need to know what\'s different in Java. That being said, we do expect you to be very familiar with Java in this course, so proceed at your own risk if you\'re attempting to come here from another language!.\nIf SQL is a no for you: check out Udacity\'s free <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/course/intro-to-relational-databases--ud197"">Intro to Relational Databases<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> course, where you\'ll learn both to design and query SQL databases.</p>\n<p class=""chakra-text css-o3oz8b"">If IntelliJ IDEA is new territory, you can take a look at their <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.jetbrains.com/idea/features/"">feature overview<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> to get a sense of what\'s possible. Note that we will be using the open-source Community Edition of IntelliJ in lessons. If you want to pay for the Ultimate Edition, you are free to, but it is not required. If IDEs are new to you entirely, check out the last lesson of Udacity\'s free <a target=""_blank"" rel=""noopener noreferrer"" class=""chakra-link css-190botj"" href=""https://www.udacity.com/course/java-programming-basics--ud282"">Java Programming Basics<span class=""chakra-text css-1lktits"">(opens in a new tab)</span></a> course for an introduction.</p></div>']",[],https://www.youtube.com/embed/3wJW64VN5GI
Java Web Developer,COURSE 2:Spring Boot Basics,Lesson 1: Introduction to Spring Boot,1.3  Introduction,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Web Development means building web applications, and in a standard web application, there are three main components:</p>\n<ul role=""list"" class=""css-19qh3zo""><li class=""css-cvpopp"">Data Storage</li><li class=""css-cvpopp"">Application Logic</li><li class=""css-cvpopp"">Client Access</li></ul>\n<p class=""chakra-text css-o3oz8b"">By the end of the course, you\'re going to learn how to build and manage each of those components in Java using Spring Boot.</p>\n<h3 class=""chakra-heading css-k57syw"">Data Storage</h3>\n<p class=""chakra-text css-o3oz8b"">Some of those beans will be responsible for interacting with the database. We will be using a SQL database called H2, which is an in-memory SQL database hosted by Spring Boot. You\'ll learn to use MyBatis, a Java library for database interaction, to generate data-access beans, which will be used by other services in your application logic to satisfy client requests.</p>\n<h3 class=""chakra-heading css-k57syw"">Application Logic</h3>\n<p class=""chakra-text css-o3oz8b"">Application logic manages client access and database interaction. For this course, you\'re going to learn how to use Spring Boot to maintain a collection of beans, which are small components of application logic that can interact with each other to carry out complex tasks.</p>\n<h3 class=""chakra-heading css-k57syw"">Client Access</h3>\n<p class=""chakra-text css-o3oz8b"">The client that will access our application is a web browser, which will send HTTP requests to our app and usually expects HTML in return. Using Spring MVC and Spring Security, libraries provided to us by Spring Boot, you will learn to create special beans called <em class=""chakra-text css-o3oz8b"">controllers</em> that you can configure to respond to client requests and generate HTML responses. Controllers act as the entry points of your application, from a client\'s perspective.</p></div>', '<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b""><strong>Architecture of a Web Application</strong>: Notice which Spring concepts intersect with which roles!</p></div>']",['https://video.udacity-data.com/topher/2020/June/5ed7eb47_l0-10-intro-to-web-development/l0-10-intro-to-web-development.jpg'],https://www.youtube.com/embed/9O5ywNRPecE
Java Web Developer,COURSE 2:Spring Boot Basics,Lesson 1: Introduction to Spring Boot,1.4  Why Java Web Development,"['<div class=""ureact-markdown css-tc5hjw""><p class=""chakra-text css-o3oz8b"">Learning web development is valuable because it\'s how the digital apps and services that we use every day are built. Being able to visualize the architecture of a web application will make you a better developer and give you tools to use when turning an app idea into reality.</p>\n<p class=""chakra-text css-o3oz8b"">Learning Java is valuable because it\'s a widely-used industry mainstay, and it has a massive community of developers and open-source projects, like Spring Boot. Learning Spring Boot matters because it\'s a core Java library that supports and defines language-wide best practices. Mastery of Spring will make you an excellent Java developer and expose you to the Java-standard solutions to a wide range of common problems. Learning to recognize those common problems will make you a better developer. Wherever you go, whatever language you use, the same problems will arise, and you\'ll know what kind of solutions to look for.</p></div>']",[],https://www.youtube.com/embed/k-cTY5niqNc
